Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 0, training accuracy 0.16
step 10, training accuracy 0.34
step 20, training accuracy 0.54
step 30, training accuracy 0.66
step 40, training accuracy 0.62
step 50, training accuracy 0.72
step 60, training accuracy 0.66
step 70, training accuracy 0.84
step 80, training accuracy 0.86
step 90, training accuracy 0.78
step 100, training accuracy 0.86
step 110, training accuracy 0.86
step 120, training accuracy 0.92
step 130, training accuracy 0.84
step 140, training accuracy 0.92
step 150, training accuracy 0.82
step 160, training accuracy 0.8
step 170, training accuracy 0.86
step 180, training accuracy 0.9
step 190, training accuracy 0.78
step 200, training accuracy 0.92
step 210, training accuracy 0.9
step 220, training accuracy 0.8
step 230, training accuracy 0.98
step 240, training accuracy 0.9
step 250, training accuracy 0.9
step 260, training accuracy 0.88
step 270, training accuracy 0.94
step 280, training accuracy 0.94
step 290, training accuracy 0.88
step 300, training accuracy 0.88
step 310, training accuracy 0.9
step 320, training accuracy 0.86
step 330, training accuracy 0.94
step 340, training accuracy 0.98
step 350, training accuracy 0.78
step 360, training accuracy 0.96
step 370, training accuracy 0.9
step 380, training accuracy 0.94
step 390, training accuracy 0.92
step 400, training accuracy 0.96
step 410, training accuracy 0.98
step 420, training accuracy 0.96
step 430, training accuracy 0.9
step 440, training accuracy 0.98
step 450, training accuracy 0.88
step 460, training accuracy 0.98
step 470, training accuracy 0.96
step 480, training accuracy 1
step 490, training accuracy 0.96
step 500, training accuracy 0.9
step 510, training accuracy 0.92
step 520, training accuracy 0.94
step 530, training accuracy 0.98
step 540, training accuracy 0.92
step 550, training accuracy 0.96
step 560, training accuracy 1
step 570, training accuracy 0.94
step 580, training accuracy 0.96
step 590, training accuracy 0.9
step 600, training accuracy 0.98
step 610, training accuracy 0.98
step 620, training accuracy 0.9
step 630, training accuracy 0.96
step 640, training accuracy 0.92
step 650, training accuracy 0.88
step 660, training accuracy 0.94
step 670, training accuracy 0.94
step 680, training accuracy 0.96
step 690, training accuracy 0.98
step 700, training accuracy 0.98
step 710, training accuracy 0.96
step 720, training accuracy 0.94
step 730, training accuracy 0.9
step 740, training accuracy 0.94
step 750, training accuracy 0.88
step 760, training accuracy 0.96
step 770, training accuracy 0.96
step 780, training accuracy 0.98
step 790, training accuracy 0.98
step 800, training accuracy 0.88
step 810, training accuracy 0.9
step 820, training accuracy 0.92
step 830, training accuracy 1
step 840, training accuracy 0.92
step 850, training accuracy 0.96
step 860, training accuracy 0.98
step 870, training accuracy 0.92
step 880, training accuracy 0.86
step 890, training accuracy 0.8
step 900, training accuracy 0.98
step 910, training accuracy 0.96
step 920, training accuracy 0.98
step 930, training accuracy 0.96
step 940, training accuracy 0.96
step 950, training accuracy 0.98
step 960, training accuracy 0.92
step 970, training accuracy 0.96
step 980, training accuracy 0.96
step 990, training accuracy 0.92
test accuracy 0.9664
